datetime,ds_name,split,attack_name,num_examples,beam_sz,max_candidates,sts_threshold,contradiction_threshold,successful_attacks,failed_attacks,skipped_attacks,original_accuracy,attack_accuracy_perc,attack_success_rate,avg_word_perturbed,avg_word_perturbed_perc,max_words_changed,avg_num_queries,avg_original_perplexity,avg_attack_perplexity,avg_attack_use_score,label_flip_mean,vm_scores_mean,sts_scores_mean,contradiction_scores_mean,sts_threshold_met_mean,contradiction_threshold_met_mean,vm_scores_std,vm_scores_10%,vm_scores_25%,vm_scores_50%,vm_scores_75%,vm_scores_90%,sts_scores_std,sts_scores_10%,sts_scores_25%,sts_scores_50%,sts_scores_75%,sts_scores_90%,contradiction_scores_std,contradiction_scores_10%,contradiction_scores_25%,contradiction_scores_50%,contradiction_scores_75%,contradiction_scores_90%
2022-04-20_140812,rotten_tomatoes,valid,BeamSearchCFEmbeddingAttack,-1,2,5,0.6,0.8,709,186,171,83.96,17.45,79.22,18.53,15.89,12,216.17,68.18,126.22,0.85,0.7921787709497207,0.44080220124575015,0.8711215755126995,0.06300142770637979,1.0,1.0,0.21491856374382642,0.10970202684402466,0.2890651077032089,0.46415039896965027,0.595906138420105,0.7045108318328858,0.11151137873073409,0.6879780650138855,0.8033504784107208,0.9044761657714844,0.9627998769283295,0.9857326745986938,0.15087951457242793,0.00041166998562403023,0.0008112337382044643,0.0029786464292556047,0.024156576953828335,0.2252525776624681
2022-04-20_152404,rotten_tomatoes,valid,BeamSearchCFEmbeddingAttack,-1,2,25,0.6,0.8,851,44,171,83.96,4.13,95.08,18.53,12.79,9,602.74,67.44,115.97,0.86,0.9508379888268157,0.5839910731302294,0.8942979343110623,0.10732575878852949,1.0,1.0,0.18816353680795384,0.34587263464927676,0.46421484649181366,0.6011233925819397,0.7338926792144775,0.8076097846031189,0.09994461500681288,0.7332491993904114,0.8469338417053223,0.9315826892852783,0.9718267023563385,0.9874932527542114,0.20374891425597938,0.0005345928599126637,0.0011998674017377198,0.006188071798533201,0.07643665373325348,0.46780557036399845
2022-04-20_190011,rotten_tomatoes,valid,BeamSearchCFEmbeddingAttack,-1,5,5,0.6,0.8,716,179,171,83.96,16.79,80.0,18.53,15.82,12,462.64,68.21,126.78,0.85,0.8,0.44475631127810344,0.8732579169992628,0.06794385933598526,1.0,1.0,0.21236476279372932,0.11839455366134645,0.3044581562280655,0.46647027134895325,0.5963758826255798,0.7061326265335084,0.10912575260934798,0.6955652952194213,0.8070901930332184,0.9039786458015442,0.9634109735488892,0.9857326745986938,0.16168949487558515,0.0004115506133530289,0.0008106858294922858,0.0030071719083935022,0.023522659204900265,0.25224587917327906
2022-04-20_215830,rotten_tomatoes,valid,BeamSearchCFEmbeddingAttack,-1,5,25,0.6,0.8,856,39,171,83.96,3.66,95.64,18.53,12.8,9,1157.14,67.49,115.51,0.86,0.9564245810055866,0.5886748860668204,0.8937157700181674,0.10801848730635108,1.0,1.0,0.18766289568609074,0.35257652997970584,0.4694563150405884,0.6110785007476807,0.7358991801738739,0.8119268298149109,0.10073910137295805,0.7271719217300415,0.8481724560260773,0.9315826892852783,0.9721159934997559,0.9874932527542114,0.20471136859205563,0.0005412174854427576,0.0011630742228589952,0.0061768717132508755,0.07843442633748055,0.46856547594070436
2022-04-21_064434,rotten_tomatoes,valid,BeamSearchLMAttack,-1,2,25,0.6,0.8,812,83,171,83.96,7.79,90.73,18.53,11.79,10,500.85,68.05,88.03,0.85,0.9072625698324023,0.562336223118798,0.8725570799252175,0.2165638680035878,1.0,1.0,0.21003041260694041,0.2741056144237518,0.4545254111289978,0.5951509475708008,0.7220072150230408,0.801030695438385,0.11132951695821285,0.6901402950286866,0.809077113866806,0.9113257527351379,0.9622209072113037,0.9843278408050538,0.2692672732035427,0.0010718330275267362,0.005199642386287451,0.05674557760357857,0.43786926567554474,0.6941128253936768
2022-04-21_103040,rotten_tomatoes,valid,BeamSearchLMAttack,-1,5,5,0.6,0.8,731,164,171,83.96,15.38,81.68,18.53,14.51,15,333.87,68.77,84.14,0.83,0.8167597765363128,0.471425684270912,0.8436514229747836,0.1881150383431599,1.0,1.0,0.2345948743308664,0.06829130649566652,0.3470618426799774,0.5014731884002686,0.6463680565357208,0.7564717173576355,0.12075072951710689,0.6472676753997803,0.7522358596324921,0.8723874092102051,0.9503113031387329,0.9796748042106629,0.24812699133240737,0.0008509351522661746,0.0037269482854753733,0.041751280426979065,0.3272819221019745,0.6452809691429139
2022-04-21_140144,rotten_tomatoes,valid,BeamSearchLMAttack,-1,5,25,0.6,0.8,823,72,171,83.96,6.75,91.96,18.53,11.75,10,941.54,67.84,88.14,0.85,0.9195530726256983,0.5751923806507494,0.8761266290808524,0.2247244087338263,1.0,1.0,0.20712014762123374,0.31458998918533326,0.4658461809158325,0.6076437830924988,0.7336585521697998,0.8125367403030396,0.10743184651944838,0.6991780161857605,0.8137355744838715,0.9114725589752197,0.962663471698761,0.9847492694854736,0.2720880168130674,0.0010718330275267362,0.005179568426683545,0.05911280959844589,0.45203281939029694,0.6964401364326478
2022-04-28_115012,rotten_tomatoes,valid,BeamSearchCFEmbeddingAttack,-1,2,5,0.9,0.1,574,321,171,83.96,30.11,64.13,18.53,13.08,11,172.49,67.65,116.57,0.87,0.641340782122905,0.35809211174869005,0.9371951116529923,0.007375079692180747,1.0,1.0,0.23612995961033317,0.020354270935058597,0.13486114144325256,0.3840760588645935,0.5376042127609253,0.6611712455749512,0.032503828277124204,0.901772928237915,0.9060325920581818,0.9284868240356445,0.9671858549118042,0.9867335081100463,0.014859308558065453,0.0003632290754467249,0.0006411642825696617,0.0015297324862331152,0.005970584694296122,0.020951459556818017
2022-04-28_135009,rotten_tomatoes,valid,BeamSearchCFEmbeddingAttack,-1,2,25,0.9,0.1,755,140,171,83.96,13.13,84.36,18.53,11.38,10,485.07,67.61,115.86,0.87,0.8435754189944135,0.5070038751849915,0.9436503475604776,0.01073797059546364,1.0,1.0,0.22653620333370397,0.13241999149322511,0.3950134813785553,0.5392909646034241,0.677372545003891,0.778020441532135,0.03202783879042008,0.9022581458091736,0.9116980731487274,0.9427144527435303,0.9731734991073608,0.988486909866333,0.018566376176703803,0.00043913173140026635,0.0008365139365196228,0.002342494670301676,0.011060357093811035,0.03283673375844958
2022-04-28_193846,rotten_tomatoes,valid,BeamSearchCFEmbeddingAttack,-1,5,5,0.9,0.1,596,299,171,83.96,28.05,66.59,18.53,13.59,11,365.8,68.67,120.0,0.87,0.6659217877094972,0.36589784212618565,0.9377347843607045,0.007684217724027554,1.0,1.0,0.2373344648027428,0.019652771949768066,0.13844656944274902,0.4108894467353821,0.5440925359725952,0.6689289808273315,0.03227596744263533,0.9018877506256103,0.9070907235145569,0.9294295310974121,0.9672554731369019,0.9868434429168701,0.015006007098096259,0.0003591037006117404,0.0006403785082511604,0.0015920469304546714,0.0065729927737265825,0.021923701092600823
